,item_header,name,extra_info,oz,size,temperature,item_id,price_fillna
0,'Stay Cozy' 16oz Mug (Regular),'Stay Cozy' 16oz Mug,(Regular),16oz,16,,#0000#,15.0
1,*WILD GOOSE GUEST BAKERY* (4.75),*WILD GOOSE GUEST BAKERY*,(4.75),,,,#0001#,4.75
2,*WILD GOOSE GUEST BAKERY* (5),*WILD GOOSE GUEST BAKERY*,(5),,,,#0002#,0.0
3,12 Month Coffee Subscription Gift,12 Month Coffee Subscription Gift - 12 oz,,,,,#0003#,204.0
4,3 Month Coffee Subscription Gift,3 Month Coffee Subscription Gift - 12 oz,,,,,#0004#,51.0
5,Add Flavor or House Espresso (Regular),Add Flavor or House Espresso,(Regular),,,,#0005#,0.48
6,Add Rotating Single Origin Espresso (Regular),Add Rotating Single Origin Espresso,(Regular),,,,#0006#,0.94
7,Aeropress (Regular),Aeropress,(Regular),,,,#0007#,35.0
8,Almond Croissant (Regular Price),Almond Croissant,(Regular Price),,,,#0008#,4.75
9,Americano (12oz HOT),Americano,(12oz HOT),12oz,12,HOT,#0009#,3.2
10,Americano (12oz ICED),Americano,(12oz ICED),12oz,12,ICED,#0010#,3.2
11,Americano (16oz HOT (quad shot)),Americano,(16oz HOT (quad shot)),16oz,16,HOT,#0011#,3.95
12,Americano (16oz ICED),Americano,(16oz ICED),16oz,16,ICED,#0012#,3.2
13,Americano (8oz HOT),Americano,(8oz HOT),8oz,8,HOT,#0013#,3.2
14,Apple Juice (Regular Price),Apple Juice,(Regular Price),,,,#0014#,0.0
15,Apple Orchard (Cider) (12oz hot),Apple Orchard,(Cider) (12oz hot),12oz,12,hot,#0015#,4.75
16,Apple Orchard (Cider) (16oz hot),Apple Orchard,(Cider) (16oz hot),16oz,16,hot,#0016#,5.25
17,Apple Orchard (Cider) (8oz hot),Apple Orchard,(Cider) (8oz hot),8oz,8,hot,#0017#,4.5
18,Apple Orchard (Cider) (Sparkling),Apple Orchard,(Cider) (Sparkling),,,,#0018#,0.0
19,Auburn Harvest (Sweet Potato Pie Latte) (12oz hot),Auburn Harvest,(Sweet Potato Pie Latte) (12oz hot),12oz,12,hot,#0019#,5.3
20,Auburn Harvest (Sweet Potato Pie Latte) (12oz iced),Auburn Harvest,(Sweet Potato Pie Latte) (12oz iced),12oz,12,iced,#0020#,5.55
21,Auburn Harvest (Sweet Potato Pie Latte) (16oz HOT ONLY),Auburn Harvest,(Sweet Potato Pie Latte) (16oz HOT ONLY),16oz,16,HOT,#0021#,6.05
22,Auburn Harvest (Sweet Potato Pie Latte) (16oz iced),Auburn Harvest,(Sweet Potato Pie Latte) (16oz iced),16oz,16,iced,#0022#,6.3
23,Auburn Harvest (Sweet Potato Pie Latte) (8oz hot),Auburn Harvest,(Sweet Potato Pie Latte) (8oz hot),8oz,8,hot,#0023#,4.8
24,BURMA | Hornbill Chin,BURMA | Hornbill Chin,,,,,#0024#,22.0
25,BURMA | Hornbill Chin (Regular),BURMA | Hornbill Chin,(Regular),,,,#0025#,22.0
26,Bao Zhong (Regular),Bao Zhong,(Regular),,,,#0026#,0.0
27,Batch Brew (12oz),Batch Brew,(12oz),12oz,12,,#0027#,3.0
28,Batch Brew (16oz),Batch Brew,(16oz),16oz,16,,#0028#,3.75
29,Batch Brew (8oz),Batch Brew,(8oz),8oz,8,,#0029#,2.5
30,Beach Bum (12oz ICED),Beach Bum,(12oz ICED),12oz,12,ICED,#0030#,0.0
31,Beach Bum (16oz ICED),Beach Bum,(16oz ICED),16oz,16,ICED,#0031#,5.5
32,Beanie (Regular),Beanie,(Regular),,,,#0032#,20.0
33,Black- China Breakfast (12oz HOT),Black- China Breakfast,(12oz HOT),12oz,12,HOT,#0033#,4.0
34,Black- China Breakfast (16oz HOT),Black- China Breakfast,(16oz HOT),16oz,16,HOT,#0034#,5.25
35,Black- China Breakfast (16oz ICED),Black- China Breakfast,(16oz ICED),16oz,16,ICED,#0035#,4.25
36,Black- Yunnan Purple Buds Garden Direct (12oz HOT),Black- Yunnan Purple Buds Garden Direct,(12oz HOT),12oz,12,HOT,#0036#,5.0
37,Botanical- Chamomile Medley (12oz HOT),Botanical- Chamomile Medley,(12oz HOT),12oz,12,HOT,#0037#,4.0
38,Botanical- Chamomile Medley (16oz HOT),Botanical- Chamomile Medley,(16oz HOT),16oz,16,HOT,#0038#,4.75
39,Botanical- Chamomile Medley (16oz ICED),Botanical- Chamomile Medley,(16oz ICED),16oz,16,ICED,#0039#,4.0
40,Botanical- Patagonia Superberry (12oz HOT),Botanical- Patagonia Superberry,(12oz HOT),12oz,12,HOT,#0040#,4.0
41,Botanical- Patagonia Superberry (16oz HOT),Botanical- Patagonia Superberry,(16oz HOT),16oz,16,HOT,#0041#,4.75
42,Botanical- Patagonia Superberry (16oz ICED),Botanical- Patagonia Superberry,(16oz ICED),16oz,16,ICED,#0042#,4.0
43,Botanical- Rooibos (12oz HOT),Botanical- Rooibos,(12oz HOT),12oz,12,HOT,#0043#,4.0
44,Botanical- Rooibos (16oz HOT),Botanical- Rooibos,(16oz HOT),16oz,16,HOT,#0044#,4.75
45,Botanical- Rooibos (16oz ICED),Botanical- Rooibos,(16oz ICED),16oz,16,ICED,#0045#,4.0
